Grant.Application.ID,Grant.Status
1,0.913801264
2,0.201674081
3,0.311615249
4,0.324975657
5,0.57057522
6,0.229883228
7,0.794450661
8,0.989025231
9,0.308208576
10,0.481987685
11,0.619395015
12,0.656616546
13,0.36657134
14,0.070214924
15,0.544539558
16,0.543930947
17,0.699654425
18,0.458766561
19,0.672605298
20,0.839967754
21,0.138833629
22,0.114362583
23,0.910693147
24,0.27133582
25,0.165109518
26,0.052598473
27,0.731363047
28,0.48160884
29,0.319365251
30,0.963876508
31,0.661990462
32,0.636253495
33,0.020414702
34,0.703255065
35,0.466297737
36,0.59621082
37,0.297206984
38,0.624595239
39,0.113810953
40,0.810997537
41,0.095942937
42,0.800065238
43,0.002805341
44,0.217477064
45,0.129017764
46,0.479029773
47,0.27631827
48,0.427783495
49,0.758816782
50,0.341271917
51,0.633961275
52,0.0463589
53,0.391197063
54,0.872987776
55,0.678492828
56,0.266327277
57,0.86939945
58,0.601429526
59,0.374320478
60,0.602460957
61,0.059421381
62,0.02592038
63,0.563655458
64,0.971941958
65,0.595158057
66,0.681959092
67,0.456192709
68,0.863415452
69,0.157647162
70,0.612348989
71,0.105711272
72,0.662034498
73,0.329639592
74,0.731988956
75,0.29166258
76,0.451245647
77,0.02830728
78,0.979917266
79,0.171076921
80,0.740833322
81,0.667085578
82,0.468532523
83,0.462191223
84,0.096011671
85,0.726778012
86,0.058910439
87,0.287193019
88,0.426692666
89,0.898230279
90,0.187402245
91,0.959043657
92,0.147497038
93,0.945673701
94,0.779901454
95,0.86452962
96,0.54966161
97,0.283635177
98,0.275081425
99,0.661007192
100,0.463131857
101,0.025243751
102,0.560882424
103,0.437952315
104,0.541594219
105,0.755763669
106,0.125448098
107,0.174353126
108,0.178031472
109,0.338402031
110,0.445580293
111,0.600288993
112,0.942921678
113,0.659007105
114,0.47696463
115,0.463437868
116,0.388075389
117,0.906910892
118,0.48882622
119,0.044653935
120,0.878010365
121,0.856631239
122,0.787413956
123,0.594894987
124,0.694195996
125,0.491756724
126,0.793423639
127,0.554878732
128,0.004612309
129,0.745948291
130,0.734988846
131,0.14660849
132,0.896690034
133,0.167691629
134,0.025090667
135,0.640469561
136,0.592013954
137,0.842448129
138,0.325717713
139,0.635299658
140,0.631178368
141,0.714560229
142,0.54715863
143,0.656097939
144,0.977155921
145,0.557173711
146,0.153993137
147,0.007808829
148,0.395186537
149,0.723489571
150,0.626900133
151,0.126272412
152,0.121806231
153,0.272957804
154,0.570871272
155,0.375721383
156,0.759600927
157,0.037982268
158,0.693170574
159,0.129119005
160,0.486774442
161,0.912680221
162,0.431853451
163,0.466027769
164,0.908721892
165,0.231174368
166,0.491974084
167,0.053730915
168,0.43449051
169,0.326761176
170,0.664603697
171,0.325509723
172,0.81681388
173,0.047974167
